repo,url,commits,releases,stars,Analyzed?,Publication? (the Readme.md of the repo usually includes the link or name of the publication),"Framework used (e.g. langchain, langgraph, use their own scripts, the project is a framework itself -Moatless, Openhand-)",Dependency graph,Has Agents?,# Agents,Agents Sheet Hyperlink,Topology/Architecture Description,Topology/Architecture File,Topology/Architecture Type,Topology URL,Programming language,Autonomy Rating,Autonomy Description,Comments
agentscope,https://github.com/agentscope-ai/agentscope/blob/28cfb99a21902d330dab6cb3762a739198cf972f,794,27,16004,TRUE,https://arxiv.org/abs/2402.14034,framework itself,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/agentscope-ai_agentscope_53830d.json,TRUE,6,Goto agentscope,The AgentScope Ecosystem,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/agentscope_20260120.png,Hybrid,https://github.com/agentscope-ai/agentscope/blob/28cfb99a21902d330dab6cb3762a739198cf972f/src/agentscope/pipeline/_msghub.py,Python,0,0 - No Classification,"- A2A Agent for comunicate agents running on different systems or servers.
- Metaclass agent to wrap the agent method to add pre and post logic (like for debug): https://github.com/agentscope-ai/agentscope/blob/28cfb99a21902d330dab6cb3762a739198cf972f/src/agentscope/agent/_agent_meta.py#L147
- ToolKit class for mange tools: https://github.com/agentscope-ai/agentscope/blob/28cfb99a21902d330dab6cb3762a739198cf972f/src/agentscope/tool/_toolkit.py#L117
- A agent example: https://github.com/agentscope-ai/agentscope/blob/28cfb99a21902d330dab6cb3762a739198cf972f/docs/tutorial/en/src/quickstart_agent.py#L164
- contruct prompt from a template for the tools etc. See example folder for example, docs/tutorial and test prompts use in each agent."
mini-SWE-agent,https://github.com/SWE-agent/mini-SWE-agent/blob/6f1b1966166301d68f54bd5b427ec9a596ea853c,860,41,2655,TRUE,https://arxiv.org/abs/2405.15793,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/SWE-agent_mini-swe-agent_47b2f5.json,FALSE,0,,,,,,Python,0,0 - No Classification,"- # Agent implementations

* `default.py` - Minimal default agent implementation.
* `interactive.py` - Extends `default.py` with some minimal human-in-the-loop functionality (confirm actions, etc.)."
Prometheus,https://github.com/EuniAI/Prometheus/blob/38e3cfe2caf6399cbbfdbd21aa5265aada79c03c,1183,0,626,TRUE,https://arxiv.org/abs/2507.19942,"langgraph, langchain",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/EuniAI_Prometheus_c3e26d.json,TRUE,5,Goto Prometheus,Publication Fig. 6. An overview of our multi-agent architecture,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/prometheus_multi-agent%20architecture.png,Hierarchical,https://github.com/EuniAI/Prometheus/blob/e318aafca0a90b104cba03eae4716aab93c07487/README.md?plain=1#L130,"Python, Shell",1,1 – Orchestrated: execution decided by software workflow or human,- agent represent subgraph with nodes
claude-coder,https://github.com/kodu-ai/claude-coder/blob/60c1a717992c1a597850d1e3671dc0491eab02ed,1203,0,5287,FALSE,not found,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/kodu-ai_claude-coder_5495f6.json,TRUE,1,Goto claude-coder,,,,,TypeScript,5,5 – Full autonomy: agents decide execution without workflow or human intervention,"- Propmt use by tools, SpawnAgentTool, FileEditorTool
- MainAgent: ApiManager, StateManager, AdvancedTerminalManager, BrowserManager, HookManager, GlobalStateManager"
patchwork,https://github.com/patched-codes/patchwork/blob/21948cbec44d3b7aec30715923ac7a0cd3fb1155,1320,NA,2,TRUE,not found,framework itself,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/patched-codes_patchwork_b5f0bb.json,TRUE,15,Goto patchwork,,,,,Python,0,0 - No Classification,- each agent are defined as a step
ridges,https://github.com/ridgesai/ridges/blob/5d5936410a295b599e42ccb22a10e2b86d441f0b,2226,NA,3451,FALSE,not found,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/ridgesai_ridges_9f9ef9.json,FALSE,,0,,,,,"Python, JavaScript",0,0 - No Classification,- No README.md in repo
SWE-agent,https://github.com/SWE-agent/SWE-agent/blob/39e2931a81c8698265e2db40ec4f3911b630d942,2787,10,18349,TRUE,https://arxiv.org/abs/2405.15793,framework itself,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/SWE-agent_SWE-agent_bd03d1.json,TRUE,3,Goto SWE-agent,"Figure 9: An overview over the structure of a trajectory: We first present the system prompt, demonstration (optional), and issue statement. The agent then interacts in turn with the environment. Past observations may be collapsed, i.e. we truncate any long output, as described in Section 3.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/SWE-agent_topology.png,,,"Python, JavaScript, CSS, Shell, C++, Perl",1,1 – Orchestrated: execution decided by software workflow or human,"- AbstractAgent: (DefaultAgent and RetryAgent)
- class for Agents Config"
suna,https://github.com/kortix-ai/suna/blob/1a38b29f67f67152ea913ba213e32afe33d03e2b,2999,3,19269,TRUE,not found,framework itself,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/kortix-ai_suna_94ad70.json,TRUE,6,Goto suna,,,,,"TypeScript, Python, HTML, CSS, Shell",5,5 – Full autonomy: agents decide execution without workflow or human intervention,"- End-to-end application platform
- system agent CRUD: (Create, Read, Update, Delete) 
- """"""Agent-related API models."""""": https://github.com/kortix-ai/suna/blob/1a38b29f67f67152ea913ba213e32afe33d03e2b/backend/core/api_models/agents.py#L1
- Api: Agent Service: (AgentFilter, AgentLoader:(AgentData))
- Api: executor.py->StatelessCoordinator->ManagerInitializer->ToolManager, MCPManager, ThreadManager, etc->tools
- Core prompt in: https://github.com/kortix-ai/suna/blob/1a38b29f67f67152ea913ba213e32afe33d03e2b/backend/core/prompts/core_prompt.py#L1"
composio,https://github.com/ComposioHQ/composio/blob/7831d2c58309f57e31da280c989539baeb48c449,4506,542,26455,TRUE,not found,"langchain, langgraph, framework itself, crewai, autogen",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/ComposioHQ_composio_a9e7f9.json,TRUE,14,Goto composio,Figure 1: Composio Centralized (Star) Tool Access Topology.,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/composio_topology.png,,,"Python, TypeScript",5,5 – Full autonomy: agents decide execution without workflow or human intervention,"- agents modul not in repository (all agent from that agent): https://github.com/ComposioHQ/composio/blob/7831d2c58309f57e31da280c989539baeb48c449/docs/examples/pr-review-agent/agent.py#L4
- composio md: https://github.com/ComposioHQ/composio/blob/7831d2c58309f57e31da280c989539baeb48c449/ts/docs/api/composio.md?plain=1#L1
- tools md : https://github.com/ComposioHQ/composio/blob/7831d2c58309f57e31da280c989539baeb48c449/ts/docs/api/tools.md?plain=1#L1
- ClaudeAgentOptions: https://github.com/ComposioHQ/composio/blob/e726e3c7eef0c8cfe567f1b505573c5049c218e5/docs/examples/gmail-labeler/main.py#L49https://github.com/ComposioHQ/composio/blob/e726e3c7eef0c8cfe567f1b505573c5049c218e5/docs/examples/gmail-labeler/main.py#L49
- its a SDK"
refact,https://github.com/smallcloudai/refact/blob/e4238702047505d74a19c695d9c6d6451ed2d867,7427,20,3451,FALSE,not found,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/smallcloudai_refact_7ba63e.json,FALSE,,0,,,,,"Rust, TypeScript, Python, JavaScript, CSS, HTML",0,0 - No Classification,- not in python
OpenHands,https://github.com/All-Hands-AI/OpenHands/blob/bef9b80b9dc6061d27a748ef2115120a6a2feb87,12397,97,67256,TRUE,https://arxiv.org/abs/2511.03690,framework itself,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/OpenHands_OpenHands_070fb0.json,TRUE,8,Goto OpenHands,Figure 1 Architecture Evolution from OpenHands V0 to V1,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Figure_1_Architecture_Evolution_from_OpenHands_V0_to_V1.png,Centralized,"https://github.com/All-Hands-AI/OpenHands/blob/bef9b80b9dc6061d27a748ef2115120a6a2feb87/openhands/controller/agent_controller.py#L732
Also see paper","Python, JavaScript, TypeScript, Makefile",5,5 – Full autonomy: agents decide execution without workflow or human intervention,"- microagent: Microagents are specialized prompts that enhance OpenHands with domain-specific knowledge and task-specific workflows.
- # IMPORTANT: LEGACY V0 CODE - Deprecated since version 1.0.0, scheduled for removal April 1, 2026
# This file is part of the legacy (V0) implementation of OpenHands and will be removed soon as we complete the migration to V1.
# OpenHands V1 uses the Software Agent SDK for the agentic core and runs a new application server. Please refer to:
# - V1 agentic core (SDK): https://github.com/OpenHands/software-agent-sdk
# - V1 application server (in this repo): openhands/app_server/
# Unless you are working on deprecation, please avoid extending this legacy file and consult the V1 codepaths above.
# Tag: Legacy-V0"
aider,https://github.com/Aider-AI/aider/blob/b9050e1d5faf8096eae7a46a9ecc05a86231384b,13003,93,40160,TRUE,https://arxiv.org/abs/2509.25873,llama-index,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/Aider-AI_aider_8ff9bc.json,TRUE,14,Goto aider,"Figure 1: The upper left sub-diagram shows the workflow agent for Aider’s polyglotAider-AI (a) benchmark. The upper right sub-diagram shows the workflow for Agentless Xia et al. (2024) testing of SWE-Bench. The lower sub-diagram represents our Lita autonomous agent framework, with key modules including LLM, Memory, Tools, Reasoning and Environment.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/aider_topology.png,,,"Python, CSS, Shell, JavaScript, HTML",1,1 – Orchestrated: execution decided by software workflow or human,"- Coder https://github.com/Aider-AI/aider/blob/7afaa26f8b8b7b56146f0674d2a67e795b616b7c/aider/coders/base_coder.py#L88
- CoderPromt: https://github.com/Aider-AI/aider/blob/7afaa26f8b8b7b56146f0674d2a67e795b616b7c/aider/coders/base_prompts.py#L1
- class InputOutput https://github.com/Aider-AI/aider/blob/7afaa26f8b8b7b56146f0674d2a67e795b616b7c/aider/io.py#L230 for advance CLI interactive"
aide,https://github.com/codestoryai/aide/blob/93c820fbc9d14b42047b658518677df66f1ef644,138645,0,2190,FALSE,not found,,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/codestoryai_aide_4775af.json,FALSE,0,,,,,,"TypeScript, CSS, JavaScript, Rust, HTML",0,0 - No Classification,"- This project is no longer maintained. See our announcement https://x.com/aide_dev/status/1891862381074186388. 
- AST navigation"
